ma_truong,ma_nganh,ten_nganh,to_hop,diem,diem_thang,phuong_thuc,nam,ghi_chu,nguon,reason
BKA,BF-E12,,A00,0.00,,THPTQG,2018,Chương trình tiên tiến,daniele15,diem_ngoai_range:0.0
BKA,BF-E12,,B00,0.00,,THPTQG,2018,Chương trình tiên tiến,daniele15,diem_ngoai_range:0.0
BKA,BF-E12,,D07,0.00,,THPTQG,2018,Chương trình tiên tiến,daniele15,diem_ngoai_range:0.0
BKA,CH-E11,,A00,0.00,,THPTQG,2018,Chương trình tiên tiến,daniele15,diem_ngoai_range:0.0
BKA,CH-E11,,B00,0.00,,THPTQG,2018,Chương trình tiên tiến,daniele15,diem_ngoai_range:0.0
BKA,CH-E11,,D07,0.00,,THPTQG,2018,Chương trình tiên tiến,daniele15,diem_ngoai_range:0.0
BKA,ED2,,A00,0.00,,THPTQG,2018,,daniele15,diem_ngoai_range:0.0
BKA,ED2,,A01,0.00,,THPTQG,2018,,daniele15,diem_ngoai_range:0.0
BKA,ED2,,D01,0.00,,THPTQG,2018,,daniele15,diem_ngoai_range:0.0
BKA,EM-E13,,A00,0.00,,THPTQG,2018,Chương trình tiên tiến,daniele15,diem_ngoai_range:0.0
BKA,EM-E13,,A01,0.00,,THPTQG,2018,Chương trình tiên tiến,daniele15,diem_ngoai_range:0.0
BKA,ET-E9,,A00,0.00,,THPTQG,2018,Chương trình tiên tiến,daniele15,diem_ngoai_range:0.0
BKA,ET-E9,,A01,0.00,,THPTQG,2018,Chương trình tiên tiến,daniele15,diem_ngoai_range:0.0
BKA,ME-LUH,,A00,0.00,,THPTQG,2018,ĐH Leibniz Hannover (Đức),daniele15,diem_ngoai_range:0.0
BKA,ME-LUH,,A01,0.00,,THPTQG,2018,ĐH Leibniz Hannover (Đức),daniele15,diem_ngoai_range:0.0
BKA,ME-LUH,,D07,0.00,,THPTQG,2018,ĐH Leibniz Hannover (Đức),daniele15,diem_ngoai_range:0.0
BPH,7380101,,A01,0.00,,THPTQG,2018,Luật Thí sinh Nam Quân khu 5,daniele15,diem_ngoai_range:0.0
DBH,7340101,,A10,0.00,,THPTQG,2018,,daniele15,diem_ngoai_range:0.0
DBH,7340101,,B03,0.00,,THPTQG,2018,,daniele15,diem_ngoai_range:0.0
DBH,7340101,,D01,0.00,,THPTQG,2018,,daniele15,diem_ngoai_range:0.0
