school_code,major_code,major_name,combo,score,scale,method,year,note,source,source_url
ANH,7480202,An toàn thông tin,A01,21.84,,THPTQG,2022,Nam- Phía Bắc,daniele15,
ANH,7480202,An toàn thông tin,A01,17.94,,THPTQG,2022,Nam- Phía Bắc,daniele15,
ANH,7480202,An toàn thông tin,A01,18.98,,THPTQG,2022,Nam- Phía Nam,daniele15,
ANH,7480202,An toàn thông tin,A01,21.22,,THPTQG,2022,Nữ- Phía Nam,daniele15,
ANH,7480202,An toàn thông tin,A01,22.00,,THPTQG,2022,Nữ- Phía Nam,daniele15,
ANH,7480202,An toàn thông tin,A01,21.85,,THPTQG,2022,Nữ- Phía Bắc,daniele15,
ANH,7480202,An toàn thông tin,A01,17.67,,THPTQG,2022,Nam- Phía Nam,daniele15,
ANH,7480202,An toàn thông tin,A01,23.26,,THPTQG,2022,Nữ- Phía Bắc,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,20.53,,THPTQG,2022,Nam - Địa bàn 1,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,19.62,,THPTQG,2022,Nam - Địa bàn 1,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,20.33,,THPTQG,2022,Nam - Địa bàn 1,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,22.39,,THPTQG,2022,Nam - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,21.89,,THPTQG,2022,Nam - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,21.84,,THPTQG,2022,Nam - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,15.10,,THPTQG,2022,Nam- Phía Nam,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,21.63,,THPTQG,2022,Nam - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,20.92,,THPTQG,2022,Nam - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,20.96,,THPTQG,2022,Nam - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,19.47,,THPTQG,2022,Nam - Địa bàn 8,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,18.32,,THPTQG,2022,Nam - Địa bàn 8,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,20.24,,THPTQG,2022,Nam - Địa bàn 8,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,19.03,,THPTQG,2022,Nam - Địa bàn 1,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,21.61,,THPTQG,2022,"Nam - Địa bàn 2
TCP: 21.11",daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,20.06,,THPTQG,2022,Nam - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,19.12,,THPTQG,2022,Nam - Địa bàn 8,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,23.88,,THPTQG,2022,Nữ - Địa bàn 1,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,25.66,,THPTQG,2022,Nữ - Địa bàn 1,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,24.92,,THPTQG,2022,Nữ - Địa bàn 1,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,25.30,,THPTQG,2022,Nữ - Địa bàn 1,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,24.69,,THPTQG,2022,Nữ - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,23.16,,THPTQG,2022,Nữ - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,24.56,,THPTQG,2022,Nữ - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,22.44,,THPTQG,2022,Nữ - Địa bàn 2,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,22.13,,THPTQG,2022,Nữ - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,24.94,,THPTQG,2022,Nữ - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,24.64,,THPTQG,2022,Nữ - Địa bàn 3,daniele15,
ANH,7860100,Nghiệp vụ An ninh,B00,15.64,,THPTQG,2022,Nam-Phía Bắc,daniele15,
BKA,BF-E12X,Kỹ thuật Thực phẩm,,15.60,,TSA,2022,,daniele15,
BKA,BF-E12Y,Kỹ thuật Thực phẩm,A00,23.35,,THPTQG,2022,TN THPT,daniele15,
BKA,BF-E12Y,Kỹ thuật Thực phẩm,B00,23.35,,THPTQG,2022,TN THPT,daniele15,
BKA,BF-E12Y,Kỹ thuật Thực phẩm,D07,23.35,,THPTQG,2022,TN THPT,daniele15,
BKA,BF1X,Kỹ thuật Sinh học,,14.50,,TSA,2022,,daniele15,
BKA,BF1Y,Kỹ thuật Sinh học,A00,23.25,,THPTQG,2022,TN THPT,daniele15,
BKA,BF1Y,Kỹ thuật Sinh học,B00,23.25,,THPTQG,2022,TN THPT,daniele15,
BKA,BF1Y,Kỹ thuật Sinh học,D07,23.25,,THPTQG,2022,TN THPT,daniele15,
BKA,BF2X,Kỹ thuật Thực phẩm,,15.60,,TSA,2022,,daniele15,
BKA,BF2Y,Kỹ thuật Thực phẩm,A00,23.35,,THPTQG,2022,TN THPT,daniele15,
BKA,BF2Y,Kỹ thuật Thực phẩm,B00,23.35,,THPTQG,2022,TN THPT,daniele15,
BKA,BF2Y,Kỹ thuật Thực phẩm,D07,23.35,,THPTQG,2022,TN THPT,daniele15,
BKA,CH-E11X,Kỹ thuật Hóa dược,,15.35,,TSA,2022,"TN THPT
CT tiên tiến",daniele15,
BKA,CH-E11Y,Kỹ thuật Hóa dược,A00,23.70,,THPTQG,2022,"TN THPT
(CT tiên tiến)",daniele15,
BKA,CH-E11Y,Kỹ thuật Hóa dược,B00,23.70,,THPTQG,2022,"TN THPT
(CT tiên tiến)",daniele15,
BKA,CH-E11Y,Kỹ thuật Hóa dược,D07,23.70,,THPTQG,2022,"TN THPT
(CT tiên tiến)",daniele15,
BKA,CH1X,Kỹ thuật hoá học,,14.50,,TSA,2022,,daniele15,
BKA,CH1Y,Kỹ thuật hoá học,A00,23.30,,THPTQG,2022,TN THPT,daniele15,
BKA,CH1Y,Kỹ thuật hoá học,B00,23.30,,THPTQG,2022,TN THPT,daniele15,
BKA,CH1Y,Kỹ thuật hoá học,D07,23.30,,THPTQG,2022,TN THPT,daniele15,
BKA,CH2X,Hoá học,,14.05,,TSA,2022,,daniele15,
BKA,CH2Y,Hoá học,A00,23.30,,THPTQG,2022,TN THPT,daniele15,
BKA,CH2Y,Hoá học,B00,23.30,,THPTQG,2022,TN THPT,daniele15,
BKA,CH2Y,Hoá học,D07,23.30,,THPTQG,2022,TN THPT,daniele15,
BKA,CH3X,Kỹ thuật in,,14.05,,TSA,2022,,daniele15,
BKA,CH3Y,Kỹ thuật in,A00,23.30,,THPTQG,2022,TN THPT,daniele15,
BKA,CH3Y,Kỹ thuật in,A01,23.30,,THPTQG,2022,TN THPT,daniele15,
BKA,CH3Y,Kỹ thuật in,B00,23.30,,THPTQG,2022,TN THPT,daniele15,
BKA,CH3Y,Kỹ thuật in,D07,23.30,,THPTQG,2022,TN THPT,daniele15,
BKA,ED2X,Công nghệ giáo dục,,14.50,,TSA,2022,,daniele15,
BKA,ED2Y,Công nghệ giáo dục,A00,23.15,,THPTQG,2022,TN THPT,daniele15,
BKA,ED2Y,Công nghệ giáo dục,A01,23.15,,THPTQG,2022,TN THPT,daniele15,
BKA,ED2Y,Công nghệ giáo dục,D01,23.15,,THPTQG,2022,TN THPT,daniele15,
BKA,EE-E18X,Năng lượng tái tạo,,17.04,,TSA,2022,,daniele15,
BKA,EE-E18Y,Năng lượng tái tạo,A00,23.55,,THPTQG,2022,"TN THPT
CT Tiên tiến",daniele15,
BKA,EE-E18Y,Năng lượng tái tạo,A01,23.55,,THPTQG,2022,"TN THPT
CT Tiên tiến",daniele15,
BKA,EE-E8X,Kỹ thuật Điều khiển - Tự động hóa,,17.43,,TSA,2022,,daniele15,
BKA,EE-E8Y,Kỹ thuật Điều khiển - Tự động hóa,A00,27.61,,THPTQG,2022,TN THPT,daniele15,
BKA,EE-E8Y,Kỹ thuật Điều khiển - Tự động hóa,A01,27.61,,THPTQG,2022,TN THPT,daniele15,
BKA,EE-EPX,Tin học công nghiệp,,14.00,,TSA,2022,,daniele15,
BKA,EE-EPY,Tin học công nghiệp,A00,23.99,,THPTQG,2022,TN THPT,daniele15,
BKA,EE-EPY,Tin học công nghiệp,A01,23.99,,THPTQG,2022,TN THPT,daniele15,
BKA,EE-EPY,Tin học công nghiệp,D29,23.99,,THPTQG,2022,TN THPT,daniele15,
BKA,EE1X,Kỹ thuật điện,,14.40,,TSA,2022,,daniele15,
BKA,EE1Y,Kỹ thuật điện,A00,23.95,,THPTQG,2022,TN THPT,daniele15,
BKA,EE1Y,Kỹ thuật điện,A01,23.95,,THPTQG,2022,TN THPT,daniele15,
BKA,EM-E13X,Phân tích kinh doanh,,15.16,,TSA,2022,,daniele15,
BKA,EM-E13Y,Phân tích kinh doanh,A00,24.28,,THPTQG,2022,TN THPT,daniele15,
BKA,EM-E13Y,Phân tích kinh doanh,A01,24.28,,THPTQG,2022,TN THPT,daniele15,
BKA,EM-E14X,Logistics và Quản lý chuỗi cung ứng,,15.03,,TSA,2022,,daniele15,
BKA,EM-E14Y,Logistics và Quản lý chuỗi cung ứng,A00,24.51,,THPTQG,2022,TN THPT,daniele15,
BKA,EM-E14Y,Logistics và Quản lý chuỗi cung ứng,A01,24.51,,THPTQG,2022,TN THPT,daniele15,
BKA,EM-E14Y,Logistics và Quản lý chuỗi cung ứng,D01,24.51,,THPTQG,2022,TN THPT,daniele15,
