ma_truong,ma_nganh,ten_nganh,nam
ANH,7860100,Nghiệp vụ An ninh,2018
BKA,BF1,Kỹ thuật Sinh học,2018
BKA,BF2,Kỹ thuật Thực phẩm,2018
BKA,CH1,Kỹ thuật hoá học,2018
BKA,CH2,Hoá học,2018
BKA,CH3,Kỹ thuật in,2018
BKA,EE-E8,Điều khiển - Tự động hóa và Hệ thống điện,2018
BKA,EE1,Kỹ thuật điện,2018
BKA,EE2,Kỹ thuật Điều khiển - Tự động hóa,2018
BKA,EM-NU,Quản lý công nghiệp,2018
BKA,EM-VUW,Quản trị kinh doanh,2018
BKA,EM1,Kinh tế,2018
BKA,EM2,Quản lý công nghiệp,2018
BKA,EM3,Quản trị kinh doanh,2018
BKA,EM4,Kế toán,2018
BKA,EM5,Tài chính - Ngân hàng,2018
BKA,ET-E4,Điện tử viễn thông,2018
BKA,ET-E5,Kỹ thuật y sinh,2018
BKA,ET-LUH,Điện tử viễn thông,2018
BKA,ET1,Kỹ thuật điện tử - viễn thông,2018
BKA,EV1,Kỹ thuật môi trường,2018
BKA,FL1,Tiếng Anh Khoa học kỹ thuật và Công nghệ,2018
BKA,FL2,Tiếng Anh chuyên nghiệp quốc tế,2018
BKA,HE1,Công nghệ Kỹ thuật Nhiệt (Cơ điện lạnh),2018
BKA,IT-E6,Công nghệ thông tin,2018
BKA,IT-E7,Công nghệ thông tin,2018
BKA,IT-GINP,Hệ thống thông tin,2018
BKA,IT-LTU,Công nghệ thông tin,2018
BKA,IT-VUW,Công nghệ thông tin,2018
BKA,IT1,Khoa học máy tính,2018
BKA,IT2,Kỹ thuật máy tính,2018
BKA,ME-E1,Kỹ thuật cơ điện tử,2018
BKA,ME-GU,Cơ khí - Chế tạo máy,2018
BKA,ME-NUT,Cơ điện tử,2018
BKA,ME1,Kỹ thuật cơ điện tử,2018
BKA,ME2,Kỹ thuật cơ khí,2018
BKA,MI1,Khoa học máy tính,2018
BKA,MI2,Hệ thống thông tin quản lý,2018
BKA,MS-E3,Khoa học kỹ thuật Vật liệu,2018
BKA,MS1,Kỹ thuật vật liệu,2018
BKA,PH1,Vật lý kỹ thuật,2018
BKA,PH2,Kỹ thuật hạt nhân,2018
BKA,TE-E2,Kỹ thuật ô tô,2018
BKA,TE1,Kỹ thuật ô tô,2018
BKA,TE2,Kỹ thuật cơ khí,2018
BKA,TE3,Kỹ thuật Hàng không,2018
BKA,TE4,Kỹ thuật tàu thuỷ,2018
BKA,TROY-BA,Quản trị kinh doanh,2018
