code,groups,tuition_display,address,name_en
BKA,Kỹ thuật - Công nghệ,28 - 32 triệu/năm,"Số 1 Đại Cồ Việt, Hà Nội",Hanoi University of Science and Technology
KHA,Kinh tế - Quản trị,16 - 22 triệu/năm,"207 Giải Phóng, Hà Nội",National Economics University
NTH,Kinh tế - Quản trị,22 - 28 triệu/năm,"91 Chùa Láng, Hà Nội",Foreign Trade University
QHI,Kỹ thuật - Công nghệ,Dưới 25 triệu/năm,"144 Xuân Thủy, Hà Nội",VNU University of Engineering and Technology
YHB,Sức khỏe,24 - 30 triệu/năm,"Số 1 Tôn Thất Tùng, Hà Nội",Hanoi Medical University
BVH,Kỹ thuật - Công nghệ,22 - 27 triệu/năm,"122 Hoàng Quốc Việt, Hà Nội",Posts and Telecommunications Institute of Technology
TMU,Kinh tế - Quản trị,18 - 24 triệu/năm,"79 Hồ Tùng Mậu, Hà Nội",Thuongmai University
HTC,Kinh tế - Quản trị,Dưới 25 triệu/năm,"58 Lê Văn Hiến, Hà Nội",Academy of Finance
QSB,Kỹ thuật - Công nghệ,27 - 32 triệu/năm,"268 Lý Thường Kiệt, TP.HCM",HCMUT - VNUHCM
KSA,Kinh tế - Quản trị,22 - 30 triệu/năm,"59C Nguyễn Đình Chiểu, TP.HCM",University of Economics Ho Chi Minh City
HQT,Xã hội - Nhân văn,Dưới 25 triệu/năm,"69 Chùa Láng, Hà Nội",Diplomatic Academy of Vietnam
QHF,Ngoại ngữ,Dưới 25 triệu/năm,"2 Phạm Văn Đồng, Hà Nội",VNU University of Languages and International Studies
