code,slug,name,province,region,kind,website,source_url,groups,tuition_display,address,name_en
KMA,hoc-vien-ky-thuat-mat-ma,Học Viện Kỹ Thuật Mật Mã,TP HCM,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-ky-thuat-mat-ma/,{},,,
PKH,hoc-vien-phong-khong-khong-quan,Học Viện Phòng Không – Không Quân,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-phong-khong-khong-quan/,{},,,
KGH,truong-si-quan-khong-quan-he-ai-hoc,Trường Sĩ Quan Không Quân - Hệ Đại học,Khánh Hòa,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-khong-quan-he-dai-hoc/,{},,,
QSA,ai-hoc-an-giang,Đại Học An Giang,An Giang,Nam,DaiHoc,https://www.agu.edu.vn/tuyensinh,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-an-giang/,{},,,
HBT,hoc-vien-bao-chi-tuyen-truyen,Học Viện Báo Chí – Tuyên Truyền,Hà Nội,Bac,DaiHoc,http://tuyensinhajc.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-bao-chi-tuyen-truyen/,{},,,
HTC,hoc-vien-tai-chinh,Học Viện Tài Chính,Hà Nội,Bac,DaiHoc,https://hvtc.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-tai-chinh/,"{""Kinh tế - Quản trị""}",Dưới 25 triệu/năm,"58 Lê Văn Hiến, Hà Nội",Academy of Finance
HCP,hoc-vien-chinh-sach-va-phat-trien,Học Viện Chính Sách và Phát Triển,Hà Nội,Bac,DaiHoc,http://tuyensinh.apd.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-chinh-sach-va-phat-trien/,{},,,
MCA,ai-hoc-my-thuat-cong-nghiep-a-chau,Đại Học Mỹ Thuật Công Nghiệp Á Châu,Hồ Chí Minh,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-my-thuat-cong-nghiep-a-chau/,{},,,
NHH,hoc-vien-ngan-hang-phan-vien-bac-ninh,Học Viện Ngân Hàng Phân Viện Bắc Ninh,Hà Nội,Bac,DaiHoc,http://www.hvnh.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-ngan-hang-phan-vien-bac-ninh/,{},,,
NHP,hoc-vien-ngan-hang-phan-vien-phu-yen,Học Viên Ngân Hàng ( Phân Viện Phú Yên ),Phú Yên,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-ngan-hang-phan-vien-phu-yen/,{},,,
DBG,ai-hoc-nong-lam-bac-giang,Đại học Nông Lâm Bắc Giang,Bắc Giang,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-nong-lam-bac-giang/,{},,,
DBD,ai-hoc-binh-duong,Đại Học Bình Dương,Bình Dương,Nam,DaiHoc,https://tuyensinh.bdu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-binh-duong/,{},,,
DKB,ai-hoc-kinh-te-ky-thuat-binh-duong,Đại Học Kinh Tế Kỹ Thuật Bình Dương,Bình Dương,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-ky-thuat-binh-duong/,{},,,
DBH,ai-hoc-quoc-te-bac-ha,Đại Học Quốc Tế Bắc Hà,Bắc Ninh,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quoc-te-bac-ha/,{},,,
DBL,ai-hoc-bac-lieu,Đại Học Bạc Liêu,Bạc Liêu,Nam,DaiHoc,https://tuyensinh.blu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-bac-lieu/,{},,,
