ky_thi,nam,to_hop,tinh,tinh_new,chuong_trinh,diem,count
THPTQG,2026,A00,01,01,,4.4,1
THPTQG,2026,A00,01,01,,6.0,1
THPTQG,2026,A00,01,01,,6.55,1
THPTQG,2026,A00,01,01,,6.6,1
THPTQG,2026,A00,01,01,,6.7,1
THPTQG,2026,A00,01,01,,6.75,1
THPTQG,2026,A00,01,01,,6.8,1
THPTQG,2026,A00,01,01,,6.9,1
THPTQG,2026,A00,01,01,,7.4,1
THPTQG,2026,A00,01,01,,7.6,1
THPTQG,2026,A00,01,01,,7.65,1
THPTQG,2026,A00,01,01,,7.7,1
THPTQG,2026,A00,01,01,,7.8,1
THPTQG,2026,A00,01,01,,7.9,1
THPTQG,2026,A00,01,01,,8.0,1
THPTQG,2026,A00,01,01,,8.1,1
THPTQG,2026,A00,01,01,,8.2,2
THPTQG,2026,A00,01,01,,8.25,3
THPTQG,2026,A00,01,01,,8.35,1
THPTQG,2026,A00,01,01,,8.45,1
THPTQG,2026,A00,01,01,,8.5,1
THPTQG,2026,A00,01,01,,8.7,1
THPTQG,2026,A00,01,01,,8.75,1
THPTQG,2026,A00,01,01,,8.8,1
THPTQG,2026,A00,01,01,,8.9,2
THPTQG,2026,A00,01,01,,8.95,4
THPTQG,2026,A00,01,01,,9.05,3
THPTQG,2026,A00,01,01,,9.1,1
THPTQG,2026,A00,01,01,,9.2,5
THPTQG,2026,A00,01,01,,9.25,1
THPTQG,2026,A00,01,01,,9.3,4
THPTQG,2026,A00,01,01,,9.35,3
THPTQG,2026,A00,01,01,,9.4,1
THPTQG,2026,A00,01,01,,9.45,1
THPTQG,2026,A00,01,01,,9.5,1
THPTQG,2026,A00,01,01,,9.55,2
THPTQG,2026,A00,01,01,,9.6,1
THPTQG,2026,A00,01,01,,9.65,1
THPTQG,2026,A00,01,01,,9.7,6
THPTQG,2026,A00,01,01,,9.75,3
THPTQG,2026,A00,01,01,,9.8,4
THPTQG,2026,A00,01,01,,9.85,3
THPTQG,2026,A00,01,01,,9.9,4
THPTQG,2026,A00,01,01,,9.95,6
THPTQG,2026,A00,01,01,,10.05,7
THPTQG,2026,A00,01,01,,10.1,2
THPTQG,2026,A00,01,01,,10.15,3
THPTQG,2026,A00,01,01,,10.2,5
THPTQG,2026,A00,01,01,,10.25,3
THPTQG,2026,A00,01,01,,10.3,4
THPTQG,2026,A00,01,01,,10.35,7
THPTQG,2026,A00,01,01,,10.4,1
THPTQG,2026,A00,01,01,,10.45,7
THPTQG,2026,A00,01,01,,10.5,1
THPTQG,2026,A00,01,01,,10.55,5
THPTQG,2026,A00,01,01,,10.6,5
THPTQG,2026,A00,01,01,,10.65,3
THPTQG,2026,A00,01,01,,10.7,15
THPTQG,2026,A00,01,01,,10.8,5
THPTQG,2026,A00,01,01,,10.85,10
THPTQG,2026,A00,01,01,,10.95,9
THPTQG,2026,A00,01,01,,11.0,6
THPTQG,2026,A00,01,01,,11.05,4
THPTQG,2026,A00,01,01,,11.1,7
THPTQG,2026,A00,01,01,,11.15,2
THPTQG,2026,A00,01,01,,11.2,12
THPTQG,2026,A00,01,01,,11.25,6
THPTQG,2026,A00,01,01,,11.3,14
THPTQG,2026,A00,01,01,,11.35,7
THPTQG,2026,A00,01,01,,11.4,4
THPTQG,2026,A00,01,01,,11.45,8
THPTQG,2026,A00,01,01,,11.5,6
THPTQG,2026,A00,01,01,,11.55,10
THPTQG,2026,A00,01,01,,11.6,13
THPTQG,2026,A00,01,01,,11.7,15
THPTQG,2026,A00,01,01,,11.75,4
THPTQG,2026,A00,01,01,,11.8,9
THPTQG,2026,A00,01,01,,11.85,21
THPTQG,2026,A00,01,01,,11.9,2
THPTQG,2026,A00,01,01,,11.95,17
THPTQG,2026,A00,01,01,,12.0,5
THPTQG,2026,A00,01,01,,12.05,6
THPTQG,2026,A00,01,01,,12.1,22
THPTQG,2026,A00,01,01,,12.15,2
THPTQG,2026,A00,01,01,,12.2,15
THPTQG,2026,A00,01,01,,12.25,3
THPTQG,2026,A00,01,01,,12.3,7
THPTQG,2026,A00,01,01,,12.35,22
THPTQG,2026,A00,01,01,,12.4,1
THPTQG,2026,A00,01,01,,12.45,24
THPTQG,2026,A00,01,01,,12.5,9
THPTQG,2026,A00,01,01,,12.55,15
THPTQG,2026,A00,01,01,,12.6,23
THPTQG,2026,A00,01,01,,12.65,1
THPTQG,2026,A00,01,01,,12.7,16
THPTQG,2026,A00,01,01,,12.75,18
THPTQG,2026,A00,01,01,,12.8,5
THPTQG,2026,A00,01,01,,12.85,22
THPTQG,2026,A00,01,01,,12.9,2
THPTQG,2026,A00,01,01,,12.95,14
THPTQG,2026,A00,01,01,,13.0,22
THPTQG,2026,A00,01,01,,13.05,9
THPTQG,2026,A00,01,01,,13.1,23
THPTQG,2026,A00,01,01,,13.15,3
THPTQG,2026,A00,01,01,,13.2,21
THPTQG,2026,A00,01,01,,13.25,18
THPTQG,2026,A00,01,01,,13.3,10
THPTQG,2026,A00,01,01,,13.35,31
THPTQG,2026,A00,01,01,,13.4,2
THPTQG,2026,A00,01,01,,13.45,28
THPTQG,2026,A00,01,01,,13.5,24
THPTQG,2026,A00,01,01,,13.55,10
THPTQG,2026,A00,01,01,,13.6,40
THPTQG,2026,A00,01,01,,13.65,1
THPTQG,2026,A00,01,01,,13.7,19
THPTQG,2026,A00,01,01,,13.75,25
